oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Wiko,Sunny Max,2016,Available. Released 2016,128.3 x 66.3 x 13.2 mm (5.05 x 2.61 x 0.52 in),149 g (5.26 oz),"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~53.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Accelerometer, proximity, compass",Android 6.0 (Marshmallow)
Xiaomi,Redmi 9,"2020, June 10","Available. Released 2020, June 10",163.3 x 77 x 9.1 mm (6.43 x 3.03 x 0.36 in),198 g (6.98 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm (~83.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 10, MIUI 12"
Xiaomi,Redmi 10X Pro 5G,"2020, May 26","Available. Released 2020, June 06",164.2 x 75.8 x 9 mm (6.46 x 2.98 x 0.35 in),208 g (7.34 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~83.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi 10X 5G,"2020, May 26","Available. Released 2020, June 01",164.2 x 75.8 x 9 mm (6.46 x 2.98 x 0.35 in),205 g (7.23 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~83.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi 10X 4G,"2020, May 26","Available. Released 2020, May 26",162.3 x 77.2 x 8.9 mm (6.39 x 3.04 x 0.35 in),199 g (7.02 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm (~83.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi K30i 5G,"2020, May 25","Available. Released 2020, June 07",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Poco F2 Pro,"2020, May 12","Available. Released 2020, May 19",163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in),219 g (7.72 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Android 10, MIUI 11"
Xiaomi,Redmi K30 5G Racing,"2020, May 11","Available. Released 2020, May 14",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),208 g (7.34 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi Note 9 Pro,"2020, April 30","Available. Released 2020, May 05",165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi Note 9,"2020, April 30","Available. Released 2020, May 12",162.3 x 77.2 x 8.9 mm (6.39 x 3.04 x 0.35 in),199 g (7.02 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm (~83.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Mi Note 10 Lite,"2020, April 30","Available. Released 2020, May 09",157.8 x 74.2 x 9.7 mm (6.21 x 2.92 x 0.38 in),204 g (7.20 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm (~87.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, compass","Android 10, MIUI 11"
Xiaomi,Mi 10 Youth 5G,"2020, April 27","Available. Released 2020, May 04",164 x 74.8 x 7.9 mm (6.46 x 2.94 x 0.31 in),192 g (6.77 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Mi 10 Lite 5G,"2020, March 27","Available. Released 2020, May 25",163.7 x 74.8 x 7.9 mm (6.44 x 2.94 x 0.31 in),192 g (6.77 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~85.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi K30 Pro Zoom,"2020, March 24","Available. Released 2020, April 04",163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in),218 g (7.69 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Android 10, MIUI 11"
Xiaomi,Redmi K30 Pro,"2020, March 24","Available. Released 2020, March 27",163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in),218 g (7.69 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Android 10, MIUI 11"
Xiaomi,Redmi Note 9S,"2020, March 23","Available. Released 2020, April 30",165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi Note 9 Pro Max,"2020, March 12","Available. Released 2020, May 12",165.5 x 76.7 x 8.8 mm (6.52 x 3.02 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi Note 9 Pro (India),"2020, March 12","Available. Released 2020, March 17",165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Black Shark 3 Pro,"2020, March 03","Available. Released 2020, March 17",177.8 x 83.3 x 10.1 mm (7.00 x 3.28 x 0.40 in),253 g (8.92 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","7.1 inches, 123.7 cm (~83.6% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~484 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Black Shark 3,"2020, March 03","Available. Released 2020, March 06",168.7 x 77.3 x 10.4 mm (6.64 x 3.04 x 0.41 in),222 g (7.83 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~82.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Mi 10 Pro 5G,"2020, February 13","Available. Released 2020, February 18",162.5 x 74.8 x 9 mm (6.40 x 2.94 x 0.35 in),208 g (7.34 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 109.2 cm (~89.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~386 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Android 10, MIUI 12"
Xiaomi,Mi 10 5G,"2020, February 13","Available. Released 2020, February 14",162.5 x 74.8 x 9 mm (6.40 x 2.94 x 0.35 in),208 g (7.34 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 109.2 cm (~89.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~386 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Android 10, MIUI 12"
Xiaomi,Redmi 8A Pro,"2020, April 02","Available. Released 2020, April 02",156.5 x 75.4 x 9.4 mm (6.16 x 2.97 x 0.37 in),188 g (6.63 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm (~81.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Accelerometer, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Redmi 8A Dual,"2020, February 11","Available. Released 2020, February 18",156.5 x 75.4 x 9.4 mm (6.16 x 2.97 x 0.37 in),188 g (6.63 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm (~81.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Accelerometer, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Poco X2,"2020, February 04","Available. Released 2020, February 11",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),208 g (7.34 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi K30,"2019, December 10","Available. Released 2019, December 20",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),208 g (7.34 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi K30 5G,"2019, December 10","Available. Released 2020, January 07",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),208 g (7.34 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi Note 8T,"2019, November 06","Available. Released 2019, November 08",161.1 x 75.4 x 8.6 mm (6.34 x 2.97 x 0.34 in),200 g (7.05 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm (~80.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 10"
Xiaomi,Mi Note 10 Pro,"2019, November 06","Available. Released 2019, November 11",157.8 x 74.2 x 9.7 mm (6.21 x 2.92 x 0.38 in),208 g (7.34 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm (~87.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Mi Note 10,"2019, November 06","Available. Released 2019, November 11",157.8 x 74.2 x 9.7 mm (6.21 x 2.92 x 0.38 in),208 g (7.34 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm (~87.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, MIUI 11"
Xiaomi,Mi CC9 Pro,"2019, November","Available. Released 2019, November",157.8 x 74.2 x 9.7 mm (6.21 x 2.92 x 0.38 in),208 g (7.34 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm (~87.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Watch Color,"2020, January","Available. Released 2020, January",53.3 x 46.2 x 11.4 mm (2.10 x 1.82 x 0.45 in),-,No,"AMOLED capacitive touchscreen, 16M colors","1.39 inches, 6.2 cm (~25.3% screen-to-body ratio)","454 x 454 pixels, 1:1 ratio (~462 ppi density)","Accelerometer, gyro, heart rate, barometer",Proprietary wearable platform
Xiaomi,Mi Watch,"2019, November","Available. Released 2019, November",44.7 x 36.9 x 12.3 mm (1.76 x 1.45 x 0.48 in),44 g / 56 g (1.55 oz),eSIM,"Super AMOLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm (~60.8% screen-to-body ratio)",368 x 448 pixels (~326 ppi density),"Accelerometer, gyro, heart rate, barometer",Proprietary wearable platform
Xiaomi,Redmi 8,"2019, October 09","Available. Released 2019, October 12",156.5 x 75.4 x 9.4 mm (6.16 x 2.97 x 0.37 in),188 g (6.63 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm (~81.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Redmi 8A,"2019, September 25","Available. Released 2019, September 30",156.5 x 75.4 x 9.4 mm (6.16 x 2.97 x 0.37 in),188 g (6.63 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm (~81.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Accelerometer, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Mi Mix Alpha,"2019, September","Coming soon. Exp. release 2020, Q2",154.4 x 72.3 x 10.4 mm (6.08 x 2.85 x 0.41 in),241 g (8.50 oz),"Dual SIM (Nano-SIM, dual stand-by)","Flexible Super AMOLED capacitive touchscreen, 16M colors","7.92 inches, 201.8 cm (~180.8% screen-to-body ratio)",2088 x 2250 pixels (~388 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Android 10, MIUI 11"
Xiaomi,Mi 9 Pro 5G,"2019, September","Available. Released 2019, September",157.2 x 74.6 x 8.5 mm (6.19 x 2.94 x 0.33 in),196 g (6.91 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Mi 9 Pro,"2019, September","Available. Released 2019, September",157.2 x 74.6 x 8.5 mm (6.19 x 2.94 x 0.33 in),196 g (6.91 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Redmi K20 Pro Premium,"2019, September","Available. Released 2019, September",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~86.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, MIUI 11"
Xiaomi,Mi 9 Lite,"2019, September 16","Available. Released 2019, September 16",156.8 x 74.5 x 8.7 mm (6.17 x 2.93 x 0.34 in),179 g (6.31 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, MIUI 11"
Xiaomi,Redmi Note 8 Pro,"2019, August 29","Available. Released 2019, September 24",161.4 x 76.4 x 8.8 mm (6.35 x 3.01 x 0.35 in),200 g (7.05 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm (~84.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, MIUI 11"
Xiaomi,Black Shark 2 Pro,"2019, July","Available. Released 2019, August",163.6 x 75 x 8.8 mm (6.44 x 2.95 x 0.35 in),205 g (7.23 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~81.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi A3,"2019, July 17","Available. Released 2019, July 24",153.5 x 71.9 x 8.5 mm (6.04 x 2.83 x 0.33 in),173.8 g (6.14 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm (~82.5% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, Android One"
Xiaomi,Redmi 7A,"2019, May 24","Available. Released 2019, July 04",146.3 x 70.4 x 9.6 mm (5.76 x 2.77 x 0.38 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm (~74.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Accelerometer, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, MIUI 12"
Xiaomi,Mi CC9e,"2019, July","Available. Released 2019, July",153.5 x 71.9 x 8.5 mm (6.04 x 2.83 x 0.33 in),173.8 g (6.14 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.01 inches, 88.7 cm (~80.3% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 10"
Xiaomi,Mi CC9,"2019, July","Available. Released 2019, July",156.8 x 74.5 x 8.7 mm (6.17 x 2.93 x 0.34 in),179 g (6.31 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, MIUI 11"
Xiaomi,Redmi Note 8,"2019, August 29","Available. Released 2019, October 16",158.3 x 75.3 x 8.4 mm (6.23 x 2.96 x 0.33 in),190 (6.70 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm (~81.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Mi 9T Pro,"2019, August 21","Available. Released 2019, August 21",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~86.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 10"
Xiaomi,Mi 9T,"2019, June 12","Available. Released 2019, June 12",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~86.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, MIUI 11"
Xiaomi,Redmi K20,"2019, May","Available. Released 2019, June",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~86.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, MIUI 11"
Xiaomi,Redmi K20 Pro,"2019, May 28","Available. Released 2019, June 01",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~86.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Redmi Note 7S,"2019, May","Available. Released 2019, May",159.2 x 75.2 x 8.1 mm (6.27 x 2.96 x 0.32 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm (~81.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Redmi Y3,"2019, April","Available. Released 2019, April",158.7 x 75.6 x 8.5 mm (6.25 x 2.98 x 0.33 in),180 g (6.35 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm (~81.5% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Redmi 5 Plus (Redmi Note 5),"2018, February","Available. Released 2018, February",158.5 x 75.5 x 8.1 mm (6.24 x 2.97 x 0.32 in),180 g (6.35 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 7.1.2 (Nougat), upgradable to Android 9.0 (Pie), MIUI 11"
Xiaomi,Mi Max 4,Not announced yet,Cancelled,-,-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","7.2 inches, 128.3 cm",1080 x 2310 pixels (~354 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Mi Max 4 Pro,Not announced yet,Cancelled,-,-,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","7.2 inches, 128.3 cm",1080 x 2310 pixels (~354 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 11"
Xiaomi,Mi 9X,Not announced yet,Cancelled,-,-,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint, accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MIUI 10"
Yezz,Max 1 Plus,"2019, August","Available. Released 2019, September",148.7 x 70.9 x 8.9 mm (5.85 x 2.79 x 0.35 in),104.9 g (3.70 oz),"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Accelerometer,Android 9.1 Pie (Go edition)
Yezz,LIV1,"2019, August","Available. Released 2019, September",138.5 x 65.8 x 9.5 mm (5.45 x 2.59 x 0.37 in),133.3 g (4.69 oz),"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 64.5 cm (~70.8% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",Accelerometer,Android 9.1 Pie (Go edition)
